,Player_x,salary,first_name,last_name,Player_y,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
174,Cedi Osman,7646581.0,cedi,osman,Cedi Osman,CLE,28,77,48,29,20.1,8.7,3.1,6.9,45.1,1.5,4.1,37.2,1.0,1.4,69.4,0.3,2.0,2.3,1.5,0.7,0.5,0.1,1.6,14.8,1.0,0.0,3.0
175,Coby White,7634088.0,coby,white,Coby White,CHI,23,74,37,37,23.4,9.7,3.6,8.0,44.3,1.7,4.6,37.2,0.8,0.9,87.1,0.2,2.6,2.9,2.8,1.0,0.7,0.1,1.6,18.7,1.0,0.0,1.9
176,Zach Collins,7568234.0,zach,collins,Zach Collins,SAS,25,63,20,43,22.9,11.6,4.5,8.7,51.8,0.9,2.3,37.4,1.7,2.3,76.1,1.8,4.5,6.4,2.9,2.0,0.6,0.8,3.2,25.6,9.0,0.0,-3.8
177,Jaden Ivey,7467530.0,jaden,ivey,Jaden Ivey,DET,21,74,16,58,31.1,16.3,5.5,13.3,41.6,1.6,4.7,34.3,3.6,4.8,74.7,1.0,2.9,3.9,5.2,3.2,0.8,0.2,3.3,28.7,8.0,0.0,-8.7
178,Taurean Prince,7310811.0,taurean,prince,Taurean Prince,MIN,29,54,31,23,22.1,9.1,3.3,7.0,46.7,1.4,3.6,38.1,1.2,1.4,84.4,0.3,2.2,2.4,1.6,1.3,0.5,0.3,2.3,15.5,0.0,0.0,0.0
179,Jae'Sean Tate,7274995.0,jae'sean,tate,Jae'Sean Tate,HOU,27,31,7,24,21.9,9.1,3.5,7.4,48.0,0.4,1.5,28.3,1.6,2.2,72.5,1.3,2.5,3.8,2.7,1.5,0.7,0.2,3.4,19.0,0.0,0.0,-3.0
180,Isaac Okoro,7249936.0,isaac,okoro,Isaac Okoro,CLE,22,76,48,28,21.7,6.4,2.3,4.7,49.4,0.8,2.3,36.3,1.0,1.4,75.7,0.7,1.8,2.5,1.1,0.6,0.7,0.4,2.1,14.0,0.0,0.0,1.7
181,Cody Martin,7207842.0,cody,martin,Cody Martin,CHA,27,7,2,5,19.1,5.0,2.0,5.1,38.9,0.4,2.0,21.4,0.6,1.0,57.1,1.1,2.3,3.4,1.6,0.3,0.6,0.1,1.9,13.3,0.0,0.0,-3.7
182,Jalen Suggs,7127855.0,jalen,suggs,Jalen Suggs,ORL,22,53,20,33,23.5,9.9,3.5,8.4,41.9,1.2,3.8,32.7,1.6,2.2,72.3,1.0,2.0,3.0,2.9,1.8,1.3,0.5,2.3,21.5,0.0,0.0,-0.8
183,Jaxson Hayes,7005005.0,jaxson,hayes,Jaxson Hayes,NOP,23,47,22,25,13.0,5.0,1.8,3.3,55.1,0.1,0.6,10.3,1.2,1.8,69.9,0.8,2.0,2.8,0.7,0.7,0.4,0.4,1.4,11.2,0.0,0.0,-1.5
184,Khem Birch,6865469.0,khem,birch,Khem Birch,SAS,30,20,9,11,8.1,2.2,1.0,1.6,59.4,0.1,0.1,50.0,0.2,0.3,80.0,0.4,0.9,1.3,0.4,0.4,0.3,0.3,1.2,5.3,0.0,0.0,0.3
185,Bennedict Mathurin,6782373.0,bennedict,mathurin,Bennedict Mathurin,IND,21,78,33,45,28.5,16.7,5.3,12.2,43.4,1.3,4.0,32.3,4.8,5.8,82.8,1.1,3.0,4.1,1.5,1.9,0.6,0.2,2.1,24.2,0.0,0.0,-2.3
186,Bruce Brown,6671373.0,bruce,brown,Bruce Brown,DEN,26,80,53,27,28.5,11.5,4.5,9.3,48.3,1.1,3.2,35.8,1.5,1.9,75.8,0.8,3.3,4.1,3.4,1.5,1.1,0.6,2.4,25.1,3.0,1.0,0.4
187,Lonnie Walker,6671373.0,lonnie,walker,Lonnie Walker IV,LAL,24,56,27,29,23.2,11.7,4.2,9.4,44.8,1.6,4.4,36.5,1.6,1.9,85.8,0.3,1.7,1.9,1.1,0.8,0.5,0.3,1.3,17.4,0.0,0.0,-3.7
188,Caleb Martin,6671373.0,caleb,martin,Caleb Martin,MIA,27,71,38,33,29.3,9.6,3.6,7.7,46.4,1.2,3.3,35.6,1.3,1.6,80.5,1.2,3.6,4.8,1.6,1.1,1.0,0.4,2.0,21.1,2.0,0.0,-0.1
189,Joe Ingles,6671373.0,joe,ingles,Joe Ingles,MIL,35,46,32,14,22.7,6.9,2.3,5.4,43.5,1.8,4.4,40.9,0.4,0.5,85.7,0.3,2.5,2.8,3.3,1.2,0.7,0.1,1.6,16.5,1.0,0.0,1.7
